timestamp,name,category,confidence,distance_m,risk,x1,y1,x2,y2
2026-02-21T13:05:52.608,person,human,0.880,2.49,danger,209,8,1158,710
2026-02-21T13:05:52.608,person,human,0.796,8.25,warning,0,505,237,717
2026-02-21T13:05:53.045,person,human,0.885,2.5,danger,216,9,1151,710
2026-02-21T13:05:53.045,person,human,0.788,8.29,warning,0,506,235,717
2026-02-21T13:05:53.218,person,human,0.887,2.49,danger,211,7,1150,710
2026-02-21T13:05:53.218,person,human,0.785,8.25,warning,0,506,234,718
2026-02-21T13:05:53.378,person,human,0.912,2.49,danger,214,7,1153,710
2026-02-21T13:05:53.378,person,human,0.765,8.62,warning,0,514,236,717
2026-02-21T13:05:53.544,person,human,0.899,2.48,danger,199,6,1152,712
2026-02-21T13:05:53.544,person,human,0.759,8.37,warning,0,509,233,718
2026-02-21T13:05:53.712,person,human,0.901,2.48,danger,199,6,1158,712
2026-02-21T13:05:53.712,person,human,0.735,8.5,warning,0,510,239,716
2026-02-21T13:05:53.881,person,human,0.909,2.48,danger,196,6,1165,712
2026-02-21T13:05:53.882,person,human,0.756,8.71,warning,0,516,231,717
2026-02-21T13:05:54.049,person,human,0.902,2.48,danger,196,5,1163,712
2026-02-21T13:05:54.050,person,human,0.743,8.71,warning,0,517,231,718
2026-02-21T13:05:54.213,person,human,0.876,2.48,danger,188,5,1143,712
2026-02-21T13:05:54.213,person,human,0.725,8.25,warning,1,505,228,717
2026-02-21T13:05:54.377,person,human,0.914,2.46,danger,190,3,1163,713
2026-02-21T13:05:54.377,person,human,0.703,8.66,warning,19,513,227,715
2026-02-21T13:05:54.549,person,human,0.874,2.55,danger,198,27,1123,712
2026-02-21T13:05:54.549,person,human,0.770,8.79,warning,44,517,227,716
2026-02-21T13:05:54.717,person,human,0.910,2.61,danger,196,45,1254,715
2026-02-21T13:05:54.717,person,human,0.777,8.75,warning,68,515,230,715
2026-02-21T13:05:54.718,cat,animal,0.541,1.69,danger,910,357,1243,712
2026-02-21T13:05:54.889,person,human,0.827,2.7,danger,132,69,1212,716
2026-02-21T13:05:54.889,person,human,0.751,8.93,warning,81,517,231,713
2026-02-21T13:05:55.056,person,human,0.875,2.76,danger,179,81,1120,716
2026-02-21T13:05:55.056,person,human,0.479,3.05,danger,2,144,542,717
2026-02-21T13:05:55.056,person,human,0.792,9.02,warning,84,516,233,710
2026-02-21T13:05:55.217,person,human,0.776,2.79,danger,209,87,1088,714
2026-02-21T13:05:55.217,person,human,0.643,3.06,danger,1,144,520,716
2026-02-21T13:05:55.217,person,human,0.774,8.93,warning,84,518,238,714
2026-02-21T13:05:55.384,person,human,0.825,2.78,danger,203,86,1092,715
2026-02-21T13:05:55.384,person,human,0.548,3.05,danger,0,144,466,717
2026-02-21T13:05:55.384,person,human,0.794,8.93,warning,85,517,235,713
2026-02-21T13:05:55.550,person,human,0.793,2.78,danger,195,85,1082,715
2026-02-21T13:05:55.550,person,human,0.530,3.05,danger,1,143,462,717
2026-02-21T13:05:55.550,person,human,0.764,8.93,warning,84,517,237,713
2026-02-21T13:05:55.718,person,human,0.831,2.78,danger,206,85,1086,715
2026-02-21T13:05:55.718,person,human,0.746,8.93,warning,84,518,236,714
2026-02-21T13:05:55.884,person,human,0.817,2.77,danger,195,84,1084,716
2026-02-21T13:05:55.884,person,human,0.691,8.88,warning,85,517,236,714
2026-02-21T13:05:56.052,person,human,0.839,2.79,danger,211,88,1080,715
2026-02-21T13:05:56.052,person,human,0.729,8.88,warning,84,517,236,714
2026-02-21T13:05:56.219,person,human,0.838,2.79,danger,209,87,1077,715
2026-02-21T13:05:56.219,person,human,0.756,8.84,warning,83,518,238,716
2026-02-21T13:05:56.388,person,human,0.854,2.78,danger,208,86,1077,716
2026-02-21T13:05:56.388,person,human,0.787,8.88,warning,84,517,237,714
2026-02-21T13:05:56.555,person,human,0.858,2.78,danger,211,86,1076,716
2026-02-21T13:05:56.555,person,human,0.547,3.14,danger,0,157,127,714
2026-02-21T13:05:56.555,person,human,0.722,8.79,warning,85,516,241,715
